Objname,RAdeg,DEdeg,YSO_CLASS,W2magMean,r_mean,r_priority,fading_mag_per_year,is_fading,fading_status,color_change_1yr,is_reddening_bluing,color_status,baseline_days
J181806.81-165119.7,274.528462,-16.855522,FS,8.45,17.14244225009346,TOO_FAINT,0.3491990311876855,True,FADING (brightening in mag = getting dimmer),0.13423593372419812,True,REDDENING (Δ(g-r) = +0.13 mag/yr),989.1012802974874
J221516.21+580743.5,333.817529,58.128808,FS,12.11,16.928834340389116,LOW,0.26613341423172654,True,FADING (brightening in mag = getting dimmer),0.04819685492055953,False,REDDENING (Δ(g-r) = +0.05 mag/yr),961.0610645586567
J221338.67+594948.1,333.411073,59.830029,ClassI,12.34,14.749983207872802,HIGH,0.7432999659028039,True,FADING (brightening in mag = getting dimmer),-0.0398144177073954,False,BLUEING (Δ(g-r) = -0.04 mag/yr),983.2964190760322
J191325.01+123749.8,288.354263,12.63048,ClassIII,10.13,15.16875633986145,HIGH,0.257409268629295,True,FADING (brightening in mag = getting dimmer),0.05198036441952063,False,REDDENING (Δ(g-r) = +0.05 mag/yr),995.5023008098287
J194227.09+225941.1,295.612969,22.994788,ClassII,10.11,16.05126790081867,MEDIUM,0.4947891142048487,True,FADING (brightening in mag = getting dimmer),-0.10737153479626318,True,BLUEING (Δ(g-r) = -0.11 mag/yr),980.8696873438894
J203706.61+410512.2,309.277561,41.086724,ClassIII,11.09,14.048098133274406,HIGH,0.5483166891186358,True,FADING (brightening in mag = getting dimmer),0.04343339093492223,False,REDDENING (Δ(g-r) = +0.04 mag/yr),973.3334725086243
J224723.12+591947.7,341.846084,59.329782,ClassII,12.4,17.872772505643514,TOO_FAINT,0.3902216701477678,True,FADING (brightening in mag = getting dimmer),-0.02156199254831477,False,STABLE,985.6463835448012
J215636.35+580242.8,329.151455,58.045259,FS,9.04,16.87661576202837,LOW,0.7072176029719514,True,FADING (brightening in mag = getting dimmer),-0.015874578870170637,False,STABLE,975.0824383096478
J192847.91+165520.7,292.19978,16.922336,ClassII,10.96,14.400509297166735,HIGH,0.5702725005129302,True,FADING (brightening in mag = getting dimmer),-0.12809790297466636,True,BLUEING (Δ(g-r) = -0.13 mag/yr),963.7137407083064
J185845.30+015021.7,284.688741,1.839354,ClassII,9.27,18.0660451610412,TOO_FAINT,0.3410199822446026,True,FADING (brightening in mag = getting dimmer),0.24157445883109616,True,REDDENING (Δ(g-r) = +0.24 mag/yr),972.0892325265158
J190308.44+054039.5,285.785183,5.677702,ClassII,10.55,17.133848389968882,TOO_FAINT,0.4249526689516877,True,FADING (brightening in mag = getting dimmer),-0.09365437723067029,False,BLUEING (Δ(g-r) = -0.09 mag/yr),974.2051889071008
J194210.68+234359.0,295.544614,23.733069,ClassII,9.07,18.306412754580684,TOO_FAINT,0.7560516149915782,True,FADING (brightening in mag = getting dimmer),-0.436078531792578,True,BLUEING (Δ(g-r) = -0.44 mag/yr),800.9596053053319
J191649.58+121420.9,289.20671,12.239217,ClassIII,12.25,15.538968014344698,MEDIUM,0.7741424944369526,True,FADING (brightening in mag = getting dimmer),-0.3958941149868751,True,BLUEING (Δ(g-r) = -0.40 mag/yr),853.3797833727076
J181612.85-113808.9,274.053483,-11.635892,FS,11.41,16.290247449286458,MEDIUM,0.5561745822291155,True,FADING (brightening in mag = getting dimmer),0.04907074250716823,False,REDDENING (Δ(g-r) = +0.05 mag/yr),907.5936807567487
J215550.45+575628.8,328.960267,57.94132,ClassII,8.53,15.2561271813072,HIGH,0.3068630733824328,True,FADING (brightening in mag = getting dimmer),0.18500937883740187,True,REDDENING (Δ(g-r) = +0.19 mag/yr),987.5473055581679
J175153.38-295130.9,267.972542,-29.858622,ClassII,8.97,15.065060101249976,HIGH,0.8111367553090164,True,FADING (brightening in mag = getting dimmer),-0.4785666908843968,True,BLUEING (Δ(g-r) = -0.48 mag/yr),943.978389016731
J190027.91+044031.0,285.116253,4.675534,ClassII,10.41,16.28429737715701,MEDIUM,0.5514974110173148,True,FADING (brightening in mag = getting dimmer),-0.04734646410810104,False,BLUEING (Δ(g-r) = -0.05 mag/yr),989.0466173553577
J182604.56-125145.6,276.519139,-12.862663,ClassI,9.57,14.63894232657393,HIGH,0.4369799906134433,True,FADING (brightening in mag = getting dimmer),0.04757841325382619,False,REDDENING (Δ(g-r) = +0.05 mag/yr),960.220786992184
J194320.31+230044.8,295.834734,23.012463,FS,10.6,15.532050650010321,MEDIUM,0.542197165111519,True,FADING (brightening in mag = getting dimmer),0.036223223879627786,False,STABLE,909.1805045991932
J181957.53-161204.8,274.989763,-16.201388,ClassII,7.12,17.248453368933323,TOO_FAINT,0.4187558549929261,True,FADING (brightening in mag = getting dimmer),-0.16400059605098244,True,BLUEING (Δ(g-r) = -0.16 mag/yr),983.8372177522906
J191032.52+094720.3,287.635579,9.788977,ClassII,7.59,15.317905510090375,HIGH,0.21023751817289102,True,FADING (brightening in mag = getting dimmer),0.2201978341001794,True,REDDENING (Δ(g-r) = +0.22 mag/yr),959.7652563961237
J180417.87-225206.9,271.074493,-22.86864,FS,7.79,14.645607481669877,HIGH,0.3248385017657274,True,FADING (brightening in mag = getting dimmer),0.06738725527318602,False,REDDENING (Δ(g-r) = +0.07 mag/yr),978.8060326524355
